KONTROLLIERTES ASYLRECHT,"Durch Verfolgung und wirtschaftliche Not in vielen Teilen der Welt verlassen Millionen Menschen ihre Heimat. Die Länder Europas und insbesondere Deutschland üben eine hohe Anziehungskraft auf Flüchtlinge aus Afrika und dem Nahen Osten aus. Bei aller Hilfsbereitschaft können wir diese Krise nicht durch dauerhafte Zuwan- derung unter Berufung auf das Asylrecht bewältigen. Die Flüchtlingspolitik der Großen Koalition war ein Fehler. Mit der unkontrollierten Zuwanderung hatte die Bundesregierung 2015 hunderttausende Flüchtlinge in das Land gelassen, ohne den damit verbundenen Aufgaben Herr zu werden. Wir brauchen klare Regeln für die Einwanderung und eine europäische Lösung für die Flüchtlingsproblematik. Dabei müssen wir dafür Sorge tragen, dass eine unkontrollierte Einwanderung verhindert wird.",,,,
Humanitäre Flüchtlingspolitik,"Wir stehen zu unserem Asylrecht und wollen unserer humanitären Verantwortung in Deutschland gerecht werden. Verfolgte und Bürgerkriegsflüchtlinge genießen Schutz, bis die Lage in ihren Heimatländern eine Rückkehr zulässt."
Rückführungsabkommen flächendeckend abschließen,Neben einem schnellen Abschluss der Asylverfahren ist ebenso die rasche Rückführung abgelehnter Asylbe- werber*innen erforderlich. Deshalb muss auch die Aufnahmebereitschaft sicherer Herkunftsländer gewähr-
Einrichtung von UN-Schutzzonen in Krisengebieten,"Wir wollen uns auf internationaler Ebene für die Einrichtung von UN-Schutzzonen starkmachen, um die Fehler der Vergangenheit und die humanitären Katastrophen nicht zu wiederholen. Unter Führung der Vereinten Nationen (UNO) muss die internationale Staatengemeinschaft in Krisengebieten künftig rasch geeignete Land- striche sichern, um den fliehenden Menschen vor Ort Sicherheit und eine Grundversorgung zu geben. Damit bleibt ihnen die lebensgefährliche Weiterflucht in Richtung Europa erspart.",,,,
Volle Kostenübernahme der Integrationspolitik durch den Bund,"Wir wollen, dass die Bundesebene vollumfänglich für die Kosten der Integration der Flüchtlinge aufkommt. Dies wäre bei dem von uns geforderten Konnexitätsprinzip der Fall. Zahlreiche Kommunen in Deutschland sind ohnehin in finanzieller Not und dürfen nicht weiter durch den Bund belastet werden. Die Kommunen müssen ihre Aufgaben für ihre Bürger*innen weiterhin wahrnehmen können.",,,,
Verpflichtende Haftpflichtversicherung für Asylbewerber*innen,"Bei Unfällen mit nicht versicherten Asylsuchenden haben Gerichte immer wieder entschieden, dass die Geschädigten nicht auf Entschädigung hoffen können, da ein Unfall mit Nichtversicherten als „allgemeines Lebensrisiko“ eingestuft wird. Einige Städte und Gemeinden haben bereits reagiert und versichern Asylsu- chende. Es braucht jedoch eine bundeseinheitliche Regelung für eine verpflichtende Haftpflichtversicherung von Asylbewerber*innen.",,,,
Integration durch Fordern und Fördern,"Diejenigen Zugewanderten, die bei uns bleiben werden, müssen wir so gut wie möglich in unsere offene Gesellschaft eingliedern. Doch Integration ist keine Einbahnstraße. Damit sie gelingt, müssen wir die Zuge- wanderten fördern, aber auch ihre Bereitwilligkeit einfordern. Der Erwerb der Sprache, die Bereitschaft, sich für unseren Arbeitsmarkt nachzuqualifizieren, aber auch unsere liberale Gesellschaftsordnung anzuerkennen, gehören unweigerlich dazu.",,,,
Europäische Rückführungsabkommen mit Fluchtherkunftsländern abschließen,"Es ist nicht sinnvoll, dass jedes EU-Mitglied einzeln Rückführungsabkommen mit den Herkunftsländern der Geflüchteten schließt. Wir wollen, dass die EU den Abschluss sogenannter EU-Rückübernahmeabkommen voranbringt. Die Fluchtherkunftsländer sollen im Gegenzug eine privilegierte Rolle in der europäischen Ent-",,,,
Bekämpfung der Schlepperei durch europäische Asylzentren in Afrika,Wir wollen legale Wege der Einreise für schutzbedürftige Menschen schaffen. Asylanträge müssen schon vor einer Überfahrt nach Europa gestellt und geprüft werden können. Dadurch entziehen wir dem menschenver- achtenden Geschäftsmodell der Schlepperbanden den Boden.,,,,
EU soll Seenotrettung an sich ziehen,"Europa darf es nicht länger geschehen lassen, dass jedes Jahr tausende Menschen im Mittelmeer ertrinken. Wir sprechen uns daher gegen eine Kriminalisierung der aktuell tätigen zivilen Helfer*innen aus. Die Seenot- rettung auf dem Mittelmeer muss jedoch künftig grundsätzlich wieder von den EU-Mitgliedsländern wahr- genommen werden, wie es der Palermo-Appell verlangt.",,,,
Keine Einwanderung in unsere sozialen Sicherungssysteme,"Wir machen uns dafür stark, dass künftig nicht das Wohnsitzland, sondern das Heimatland für die soziale Si- cherung seiner Bürger*innen zuständig ist. Damit müssten sich Arbeitnehmer*innen aus anderen EU-Ländern beim Beziehen von Sozialleistungen an die Höhe der Sozialleistungen in ihrem Herkunftsland anpassen. Da alle EU-Mitgliedstaaten dem Sozialstaatsgebot verpflichtet sind, ist eine entsprechende Absicherung gewähr- leistet und gleichzeitig werden falsche Anreize unserer sozialen Sicherungssysteme beseitigt.",,,,
DER MENSCH IM MITTELPUNKT,"Die sozialen Sicherungssysteme in unserem Land genießen weltweit ein hohes Ansehen. Damit das so bleibt, müssen die Sicherungssysteme langfristig leistungsfähig und bezahlbar bleiben sowie für alle Bürger*innen zugänglich sein. Das Gefühl sozialer Sicherheit schwindet, die Furcht vor sozialem Abstieg steigt. Wir wollen, dass das Vertrauen in das deutsche Rentensystem wieder wächst. Daher plädieren wir für grundlegende Re- formen der sozialen Sicherungssysteme, insbesondere der gesetzlichen Sozialversicherungen. Das Rentensys- tem muss für heutige und künftige Generationen zukunftssicher aufgestellt werden. Unser Ziel ist es, dass die Menschen wieder enger zusammenrücken. Gesellschaftlicher Zusammenhalt be- deutet auch, dass wir allen Bürger*innen eine gleichberechtigte Teilhabe in unserer Gesellschaft einräumen. Die Vereinbarkeit von Familie und Beruf ist unser erklärtes politisches Ziel.",,,,
Rentenversicherung mit Vier-Säulen-Modell,"Wir wollen die gesetzliche, betriebliche und freiwillige Vorsorge so aufstellen, dass wieder ein möglichst hoher Rentenanspruch sichergestellt wird und ein weiteres Absinken des Rentenniveaus der Vergangenheit angehört. Die gesetzliche Rentenversicherung soll maßgeblich den Erhalt des Lebensstandards gewährleisten. Bei der Verwendung von Beiträgen und Steuermitteln ist eine größtmögliche Transparenz herzustellen. Es muss si- chergestellt werden, dass die betriebliche und private Vorsorge vom Staat honoriert wird. Die Politik muss die Rahmenbedingungen schaffen, dass sich Arbeit lohnt und am Ende zu einer Rente führt, die zum Leben aus- reicht. Rentenbesteuerung und Doppelverbeitragung von Betriebsrenten müssen im Sinne der Rentenbezie- her*innen korrigiert werden. Als vierte Säule soll der Staat den Erwerb und den Bau von Immobilien fördern. Das Kaufen und Abbezahlen einer eigengenutzten Immobilie ist eine Investition in den eigenen Ruhestand.",,,,
Garantie der betrieblichen und privaten Vorsorge,"Wir wollen sicherstellen, dass die freiwillige betriebliche oder private Vorsorge vom Staat honoriert wird. Das bedeutet, dass die Auszahlungen aus diesen Versicherungen nicht etwa zu einer Senkung der Grundsicherung im Alter führen, sondern von den Begünstigten – zumindest teilweise – zusätzlich zu staatlichen Transfer- leistungen bezogen werden dürfen. Das Schonvermögen eines/einer Antragsteller*in von Hartz IV soll zur Ver- meidung von Altersarmut erweitert werden. Dazu soll der Bemessungsbetrag auf 2.000 Euro pro Lebensjahr ohne Obergrenze angehoben werden.",,,,
Rentenniveau stabilisieren durch Automatisierungs-Gutschrift,"Wir wollen sicherstellen, dass es zu keiner weiteren Absenkung des Rentenniveaus und zu einer wachsenden Altersarmut kommt. Immer mehr Menschen haben zwar ein Leben lang in Vollzeit gearbeitet, aber dabei nur ein geringes Einkommen erzielen können. Gut bezahlte Arbeitsplätze in der Industrie sind durch die zuneh- mende Automatisierung weggefallen. Im wachsenden Dienstleistungssektor werden aber weit geringere Stun- denlöhne gezahlt als im produzierenden Gewerbe. Da sich die Rentenanwartschaften nach dem individuellen Einkommen richten, ist es also erforderlich, die individuellen Rentenkonten zu erhöhen. Deswegen wollen wir das Instrument der Automatisierungs-Gutschrift einführen, damit weder eine Absenkung des Rentenniveaus noch eine zunehmende Steuerfinanzierung der Rente nötig wird. Für die Automatisierungs-Gutschrift wird bei börsennotierten Aktiengesellschaften auf die ausgeschütteten Dividenden berechnet – vergleichbar der Abgeltungssteuer auf Kapitalerträge – von den Banken automatisch ein Anteil an die Deutsche Rentenver- sicherung überwiesen. Dieses Geld wird als Rentenpunkte allen Rentenversicherten gleichmäßig auf ihren",,,,
Volle Anrechnung der Elternzeit auf die Rente,Nachwuchs sorgt für die Nachhaltigkeit unseres Rentensystems. Deswegen müssen wir Eltern bei der Rente die Kindererziehungszeiten mit dem letzten Bruttogehalt voll anrechnen.
Deutsche Minderheiten im Ausland stärker fördern,"Wir wollen die deutschen Minderheiten in Ländern wie Belgien, Polen, der Slowakei, Tschechien, Ungarn, Russland und Rumänien bei der Kulturarbeit unterstützen und ihnen partnerschaftlich zur Seite stehen. Somit gibt man den deutschen Minderheiten den nötigen Rückhalt und stärkt ihre Position.",,,,
Kinderarmut beenden,"Wir wollen, dass Kinderarmut in Deutschland wirksam bekämpft wird. Kinder sind auf unsere Hilfe ange- wiesen. Kinderarmut darf sich in Deutschland keinesfalls verfestigen. Die Grundsicherung muss deshalb so gestaltet werden, dass den Bedürfnissen der Kinder Rechnung getragen wird und dass ihnen volle Teilhabe- möglichkeiten in der Gesellschaft und gleiche Bildungschancen gegeben werden.",,,,
"Steuerliche Begünstigung von ""Familien"," familienfreundliche Arbeitsbedingungen,Familien gilt es" besonders in der Besteuerung zu berücksichtigen. Wir treten für eine steuerliche Entlastung von Familien ein. Familien mit Kindern müssen begünstigt werden. Dies kann durch eine Aufstockung der steu- erlichen Freibeträge erreicht werden. Uns ist wichtig,dass Eltern Zeit für ihre Kinder haben. Wir wollen deshalb gemeinsam mit der Wirtschaft dafür sorgen,dass attraktive Arbeitszeitmodelle,"Telearbeit und Möglichkeiten für Homeoffice geschaffen werden und zusätzliche Betriebskindergärten flächendeckend eingerichtet werden."""
Kein überhastetes Grundeinkommen,"Eine deutsche Langzeitstudie zum Grundeinkommen ist u.a. vom Deutschen Institut für Wirtschaftsforschung vorgenommen worden. Die Erkenntnisse, die dabei gewonnen werden, müssen genauso wie die Ergebnisse von anderen Testläufen (z.B. in Finnland) einer kritischen Prüfung unterzogen werden, bevor eine grundsätz- liche Neuausrichtung unserer sozialen Sicherungssysteme angedacht werden kann. Wir werden das Thema",,,,
Mindestlohn darf nicht in Altersarmut führen,"Der Mindestlohn soll so bemessen sein, dass Vollzeitbeschäftigte nach 45 Jahren Tätigkeit einen auskömmli- chen Rentenanspruch erwerben können und keine Grundsicherung erhalten müssen. Arbeit muss sich lohnen. Der Mindestlohn muss regelmäßig angepasst werden und soll durch Qualifizierung der Arbeitnehmer*innen immer mehr an Bedeutung verlieren.",,,,
"Gerechte ""Bildungschancen"," heimatnahe Ausbildungs- und Arbeitsplätze,Alle Kinder und Jugendliche benötigen eine Garantie für gleiche Bildungschancen. Unsere Schulsysteme müs- sen ihnen den Raum geben",um ihre persönlichen Fertigkeiten,ihre Interessen und Stärken auszubilden und sich optimal auf das Berufsleben vorzubereiten. Wir wollen,dass Jugendliche in ihrer Heimat ihr Lebensglück finden können und nicht unbedingt gezwungen sind,"diese für Ausbildung und Arbeitsplatz zu verlassen. Des- halb setzen wir uns für gleichwertige Lebensverhältnisse in der Stadt und auf dem Land ein."""
Verpflichtendes kostenfreies Kindergartenjahr,"Wir wollen, dass Kinder vor ihrer Einschulung bundesweit ein Jahr lang verpflichtend in den Kindergarten oder eine vergleichbare Einrichtung gehen, wobei auf eine zunehmende bundesfinanzierte Kostenfreiheit der Kinderbetreuung hinzuarbeiten ist. Dies schafft Chancengleichheit, ermöglicht einen fließenden Übergang in die Schule und ist wichtig für eine bessere Integration dank einer Sprach- und Lernförderung im letzten Kin- dergartenjahr.",,,,
Kinder- und Jugendschutz stärken,"Gefahren für unsere Kinder und Jugendlichen wie sexualisierte Gewalt an Kindern, Manipulation durch soziale Medien, Drogen, Alkohol und Extremismus verlangen politische Antworten, um sie besser davor zu schützen. Wir wollen deshalb die Prävention durch Aufklärung vor allem an den Schulen stärken. Hier sind mit den Ländern geeignete Konzepte und Kampagnen zu entwickeln. Zivilcourage ist das wichtigste Instrument zum Schutz von Kindern. Niedrigschwellige Meldesysteme und Anlaufstellen müssen vor Ort zur Verfügung stehen. Geschultes Personal muss sich den Meldungen widmen. Schlüsselpersonen, wie Lehrer*innen, das Personal in Betreuungseinrichtungen sowie an Schnittstellen im Gesundheitswesen, brauchen ein intaktes Netzwerk. Der Bund darf Kommunen mit dieser Aufgabe nicht allein lassen. Hilfsangebote für Eltern und Kinder müssen von der Schwangerschaftsberatung bis zum Teenageralter bereitstehen. Die Ausübung der Religionsfreiheit ist",,,,
Vollständige Teilhabe von Menschen mit Behinderung,"Wir stehen hinter der UN-Behindertenrechtskonvention und machen uns für die Eingliederung der Menschen mit Behinderung in alle Lebensbereiche stark. Werkstätten für Menschen mit Behinderung leisten dazu einen zentralen Beitrag. Wir setzen uns dafür ein, dass die Aufgaben der Inklusion von der Politik und der Gesell- schaft gemeinsam geleistet werden. Dabei muss klar sein, dass Gemeinden und Städte dies selbst nicht finan- zieren können. Bund und Länder müssen hier ebenfalls eine große finanzielle Verantwortung tragen.",,,,
SICHERES UND ZUKUNFTSFÄHIGES GESUNDHEITS- UND PFLEGESYSTEM,"Die beiden Herausforderungen „Gesundheit“ und „Pflege“ brauchen ambitionierte Antworten. Wir erleben seit längerem einen zunehmenden Rückbau in der Qualität und der Quantität vieler Leistungen. Nicht nur der ländliche Raum droht der große Verlierer dieser Entwicklung zu werden. Wir müssen dies durch umfassende Maßnahmen und Reformen verändern, hin zu einem sozialen Gesundheitskonzept, in dem das deutsche und europäische Vorsorgeprinzip eingehalten wird. Die medizinische Versorgung der Menschen darf nicht durch das Streben nach einer reinen Gewinnmaximierung gefährdet werden.",,,,
Wohnortnahe und flächendeckende medizinische Versorgung,"Wir kämpfen für eine wohnortnahe und flächendeckende medizinische Versorgung in Deutschland. Gera- de die Corona-Pandemie zeigt die Notwendigkeit, ländliche Regionen gezielt zu stärken. Ungleichgewichte zwischen Stadt und Land müssen behoben werden. Dies ist besonders für ältere Menschen und Familien unerlässlich und unsere gesellschaftliche Aufgabe.",,,,
Freie Berufe bei der Gesundheitsversorgung stärken,"Versorgungslücken werden wir nur in Zusammenarbeit mit freiberuflichen sowie niedergelassenen Haus- und Fachärzt*innen, Hebammen, Apotheker*innen und Therapeut*innen verhindern können. Diesen Berufsstän- den kommt eine Schlüsselfunktion in unserer Gesundheitsversorgung zu. Insbesondere müssen wir die in- habergeführte Präsenzapotheke erhalten, um die Apotheker*innen als Ansprechpersonen und Berater*innen vor Ort zu bewahren. Eine Stärkung und mehr Schutz der Leistungserbringer*innen im Gesundheitswesen können durch eine bessere Qualitätssicherung, den Abbau von Bürokratie und durch die Sicherung eines hohen Qualitätsstandards in der Ausbildung erzielt werden.",,,,
Selbstbestimmtes Leben– auch im hohen Alter,"Ein eigenständiges und selbstbestimmtes Leben muss bis ins hohe Alter möglich bleiben. Jeder Mensch muss selbst entscheiden dürfen, wo er alt werden möchte. Genügend bezahlbarer Wohnraum und Schutz des Wohneigentums sind zentrale Aufgaben der Politik. Den Lebensabend in den eigenen vier Wänden zu verbringen, ist der Wunsch vieler Menschen und der muss von der Politik respektiert und unterstützt wer- den. Hierfür werden wir den Ausbau alternativer Wohnformen, wie generationsübergreifendes Wohnen oder Wohngruppen für Menschen mit Demenz, fördern. Zur Unterstützung junger Familien, die fürs Alter, aber auch mit für ihre Eltern vorsorgen, wollen wir uns für eine Bezuschussung bzw. für eine finanzielle Förderung von barrierefreiem Bauen einsetzen. Des Weiteren machen wir uns stark für den Ausbau von Pflegeangeboten im ländlichen Raum und für mehr Kurzzeit- und Verhinderungspflegeangebote. Ein weiterer Schwerpunkt unserer Pflegepolitik ist die Unterstützung pflegender Angehöriger. Eine deutliche Angleichung ambulanter Pflegeleis- tungen an die stationären Pflegeleistungen ist hier dringend erforderlich.",,,,
Aufwertung der Pflegeberufe,"Wir fordern eine Bundesoffensive für Pflegekräfte. Sie muss einen ausreichenden, deutlich höheren Personal- schlüssel festlegen, besonders in der Altenpflege. Qualifizierte Aus- und Weiterbildungen, berufsbegleitende Ausbildungsmöglichkeiten, eine leistungsgerechte Entlohnung und bessere Arbeitsbedingungen, etwa weni- ger Bürokratie, um mehr Zeit für die Pflege zu haben, sind unsere Forderungen für eine schnelle Aufwertung der Pflegeberufe. Zusätzliche Anreize für eine Ausbildung in den systemrelevanten Pflegeberufen können steu- erliche Freibeträge schaffen. Um die Pflegeberufe bei Berufseinsteiger*innen attraktiver zu machen, sprechen wir uns seit langem für die Einführung eines Gesellschaftsjahres für alle aus. Eine Grundausbildung für den Pflegedienst im Gesellschaftsjahr für alle bietet hierbei Qualitätssicherheit und stärkt die Motivation junger Menschen, sich in Pflegeberufen aus- und weiterzubilden.",,,,
Häusliche ambulante Pflege durch Angehörige stärken,"Die Leistung pflegender Angehöriger ist außerordentlich und bedarf deutlich mehr gesamtgesellschaftlicher Unterstützung. Für Familienangehörige muss mehr unbürokratische und individuelle Hilfe abrufbar werden ebenso sind eine finanzielle Entschädigung und die Anerkennung der Pflegezeit bei der Altersrente erforder- lich. Wir setzen uns deshalb für einen flächendeckenden Ausbau des niederländischen Projekts „Buurtzorg = Nachbarschaftshilfe“ ein. Dieses Modell beinhaltet die Beratung und Begleitung der Pflegenden und An- gehörigen mit einer umfangreichen und qualifizierten Pflegeplanung unter Einbeziehung aller an der Pflege Beteiligten, wie Ärzteschaft, Sozialarbeiter*innen, Nachbarschaftshilfe. Das Modell umfasst den Aufbau eines lokalen, informellen Netzwerks, mit einer Verknüpfung von Haus- und Fachärzt*innen, Therapeut*innen, Apotheken oder anderen medizinischen Diensten, ebenso wie pflegefachliche Tätigkeiten eines zuständigen Teams. Somit kann die häusliche Pflege durch adäquate Prozesse und Arbeitsteilung wirtschaftlicher und",,,,
Neue Versorgungsmodelle weiter ausbauen,"Oft liegt die nächste Facharztpraxis viele Kilometer entfernt, Hausarztpraxen schließen oder wandern in die Großstädte ab. Die Lösung sind hausarztorientierte, innovative Versorgungskonzepte (medizinische Versor- gungszentren, ärztliche Leitung), der Ausbau der Telemedizin sowie interdisziplinäre Netzwerke, die wir voran- bringen wollen. Wir befürworten die weitere Digitalisierung der Medizin, aber Datenschutz und Transparenz müssen gewährleistet werden. Der Bund muss die Programme für die Hausarztversorgung in allen Regionen und für die Pflegeversorgung im ländlichen Raum unterstützen, z.B. mit einer besseren Vernetzung/Verzah- nung der Hausarztmodelle mit der Pflege.",,,,
