Partei,Thema,Meinung
"AFD","Mandatszeit","Um unser Ideal des Bürgerabgeordneten zu verwirklichen, fordern wir eine Begren- zung der Mandatszeit für Abgeordnete auf vier und der Amtszeit für den Bundeskanzler auf zwei Legislatur-perioden. Verkleinerung der Parlamente Mit seinen mittlerweile 709 Abgeordneten leistet sich Deutschland eines der größten Parlamente der Welt. Die im Oktober 2020 von CDU/CSU und SPD durchge- setzte Wahlrechtsänderung entspricht nicht der vom Bundesverfassungsgericht angemahnten Reform der Wahl zum Bundestag. Mit etwa 2.500 Abgeordneten in Bund und Ländern und dem dazugehörigen Verwaltungsapparat hat Deutschland übergroße Parlamente. Wir streben an, den Bundestag um etwa die Hälfte zu verkleinern. Berufspolitikertum: Mandats- und Amtszeiten begrenzen Die ungebrochene Tendenz zum Berufspolitikertum hat der Monopolisierung der Macht Vorschub geleistet und die unübersehbare Kluft zwischen Wählern und Gewählten stetig vergrößert. Vetternwirtschaft, Filz, korruptionsfördernde Strukturen und Lobbyismus sind die Folge."
"AFD","Lobbyismus eindämmen","Wir wollen, dass Bundestagsabgeordnete ihre volle Arbeitskraft der parlamentarischen Arbeit widmen. Das Mandat darf nicht unter bezahlten Nebentätigkeiten leiden. Der überbordende Lobbyismus in Brüssel und Berlin muss eingedämmt werden. Wir wollen die Regelungen hinsichtlich der Nebentätigkeiten von Parlamentariern deutlich verschärfen, um Bestechung zu verhindern. Unseren eigenen Abgeordneten haben wir bereits jetzt über unsere Satzung entsprechende Regeln auferlegt. Ferner setzen wir uns für ein Lobbyisten-Gesetz mit konkreten Rechten, Pflichten und Sanktionen für Mandatsträger und Lobbyisten ein, das vorbildlichen Regelungen anderer Demokratien entspricht. Wir wollen die Rege- lungen hinsichtlich der Nebentätigkeiten von Parlamentariern deutlich verschärfen, um Bestechung zu verhindern."
"AFD","Freiheit und Verantwortung","Im Zentrum unseres Menschenbildes stehen Freiheit und Verantwortung. Wir gehen von der Befähigung und Bereitschaft jedes einzelnen aus, in Freiheit und Verant- wortung sein Leben zu gestalten und seine Angelegen- heiten und die seiner Familie zu besorgen. Gängelung und Indoktrination durch Staat oder gesellschaftliche Gruppen lehnen wir ab. ""Die Alternative für Deutschland tritt für die Wiederherstellung der bürgerlichen Selbstbestimmung im Zivilrechtsverkehr ein. Deshalb lehnen wir sagen Antidiskriminierungs-gesetze‘ ab."
"AFD","Bürgerlich-freiheitliche Rechtsordnung","Die Prinzipien der Gleichheit vor dem Gesetz und der bürgerlichen Vertragsfreiheit gehören zu den großen zivilisatorischen Errungenschaften Europas. Während des weitaus größten Teils der Menschheitsgeschichte gehörte es zur unhinterfragten Normalität, dass Menschen durch Geburt oder Stand ungleich und in ihrer rechtlichen Selbstbestimmung beschränkt waren, bis hin zum Extrem der Rechtlosigkeit in Form von Leibeigenschaft oder Sklaverei. Erst die christliche und humanistische Kultur der europäischen Völker brachte die vorgenannten Prinzipien hervor und verwirklichte sie in einem jahrhundertelangen Prozess. In den letzten Jahrzehnten ist erschreckenderweise eine Abkehr von diesen europäischen Grundwerten zu verzeichnen. Diesem zivilisatorischen Rückschritt gilt es entgegenzutreten. In Artikel 3 des Grundgesetzes heißt es: ,,Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung"
"AFD","Gleichberechtigt","verzeichnen. Diesem zivilisatorischen Rückschritt gilt es entgegenzutreten."
"AFD","Quotenregelungen und Gleichheit","Die Alternative für Deutschland tritt für die Gleichheit vor dem Gesetz ein. Deshalb lehnen wir sogenannte „Quotenregelungen“ ab. Unter dem Einfluss der Europäischen Union wird dieses fundamentale Prinzip der Privatautonomie in der deutschen Gesetzgebung Schritt für Schritt zerstört. In einer freiheitlichen Grundordnung ist der Staat in seinem Handeln gegenüber dem Bürger der Pflicht zur Gleichbehandlung unterworfen, der Bürger selbst jedoch ist in der Gestaltung seiner privaten Rechtsverhältnisse frei. Eine Aufhebung dieser Trennung zwischen Staat und Gesellschaft beschädigt die freiheitliche Natur der Rechtsordnung und öffnet Tür und Tor für eine in letzter Konsequenz totalitäre Herrschaftsordnung. Die AfD wird sich im Deutschen Bundestag gegen diese Entwicklung und für die Bewahrung einer freiheitlichen Privatrechtsordnung einsetzen. Leistung statt Quote - Freiheit statt Diskriminierung Die grundgesetzlich garantierte Gleichberechtigung von Mann und Frau hat mit der vom Parteienkartell propagierten Gleichstellung und Gleichmacherei nichts zu tun. Die AfD lehnt jede Art von Quoten ab. Sie sind leistungs- feindlich, ungerecht und stellen eine verfassungswidrige Diskriminierung derer dar, die nicht in den Genuss der Quote kommen. Schutz der persönlichen Freiheit vor digitalen  Übergriffen Eingriffe in die Privatsphäre durch monopolistische, datengetriebene Großkonzerne, Behörden und Geheim- dienste überschreiten zum Teil deutlich die grundge-"
"AFD","Freiheitsrechte","setzlich garantierten Freiheitsrechte. Dieser Gefährdung unserer Freiheit wollen wir entgegenwirken, den Bürgern ihre informationelle Selbstbestimmung zurückgeben und diese verfassungsrechtlich stärken. Hinweisgeber (Whistleblower) schützen Die totalitären Tendenzen haben auch in Deutschland ein demokratiegefährdendes Maß angenommen. Die verfassungswidrige Grenzöffnung und die massiven Grundrechtseinschränkungen im Namen der Corona-Krise waren die bisherigen Höhepunkte im täglichen Bruch von Recht und Verfassung durch Regierungspolitiker. Die Mainstream-Medien haben ihre elementare Aufgabe als vierte Gewalt aufgegeben und kritisch-objektive Berichterstattung gegen Regierungs- lobhudelei getauscht. So bleiben oftmals nur noch alter- native Medien und Whistleblower zur Aufdeckung und Offenlegung regierungsamtlichen Unrechts. Aus diesem Grund sind anonyme Hinweisgeber zur Aufdeckung von Korruption, Machtmissbrauch und anderen Straftaten in Politik, Verwaltung, Wirtschaft und zivilgesellschaftlichen Organisationen unverzichtbar."
"AFD","Die EU-Richtlinie zum Hinweisgeberschutz","Die EU-Richtlinie zum Hinweisgeberschutz ist unzureichend. Wir fordern ein einheitliches deutsches Gesetz mit verständlichen klaren Regeln sowie eine entsprechende Anpassung des Beamtenrechts. Wichtige Bestandteile eines solchen Gesetzes sind für uns vorge- schriebene interne Whistleblower-Kanäle und alternati- ve externe Meldemöglichkeiten bei einer unabhängigen, selbstständigen Behörde sowie der vollumfängliche Schutz des Hinweisgebers vor Repressalien, inklusive einer gesetzlich garantierten Vertraulichkeit. Wir wollen den Bürgern ihre informationelle Selbstbestimmung zurückgeben und diese verfassungsrechtlich stärken."
"AFD","EU und Europa","Die AfD steht für die Freiheit und Selbstbe- stimmung der europäi- schen Nationen. Wir wollen den souve- ränen, demokratischen Nationalstaat erhalten. Ein Europa der Vaterländer Die AfD steht für die Freiheit und Selbstbestimmung der europäischen Nationen. Wir bekennen uns zu einem Europa der Vaterländer als einer Gemeinschaft souveräner Staaten, die auf all jenen Gebieten zusammenarbeiten, die gemeinsam besser gestaltet werden können. Dazu gehört insbesondere ein freier Handel mit fairem Wettbewerb. Eine staatsähnliche Europäische Union, wie sie von den etablierten Parteien angestrebt wird, halten wir im Sinne eines prosperierenden und friedlichen Europas für kontraproduktiv. Selbstverantwortliche und von lebendigen Demokratien gestaltete Nationalstaaten sind durch übernationale Einrichtungen nicht ersetzbar. Eine Gruppe benachbarter Staaten kann sehr gut auf völkerrechtlicher Basis konstruktiv und friedlich kooperieren. Der Versuch jedoch, aus derzeit 27 oder noch mehr Staaten mit jeweils eigenen Sprachen, Kulturen und historischen Erfahrungen einen wie auch immer ausgestalteten Gesamtstaat zu bilden, muss scheitern. Ein solches Gebilde verfügt weder über ein Staatsvolk, noch über das erforderliche Mindestmaß an kultureller Identität, welche notwendige Voraussetzun- gen für gelingende Staaten sind. Wir wollen den souveränen, demokratischen Nationalstaat erhalten. Nur dort kann Volkssouveränität gelebt werden, die Mutter und das Herzstück der Demokratie."
"AFD","Zurückführung der Europäischen Union","Zurückführung der Europäischen Union in einen Staatenbund souveräner Staaten Eine Union europäischer Staaten wird nur dann eine Zukunft haben, wenn es gelingt, dem sich immer schneller drehenden Rad der Entdemokratisierung und Zentralisierung in die Speichen zu greifen, bevor die heutige EU durch die Pervertierung ihrer Gründungs- idee an sich selbst zugrunde geht. Die wirtschafts- geschichtlich ungewöhnliche Idee einer Einheits- währung für wirtschaftlich völlig unterschiedlich entwickelte Staaten ist gescheitert. Es handelte sich um eine politische Wunschvorstellung, die mit ökonomischen Gesetzen nicht in Einklang zu bringen ist. Mit der Einführung des sogenannten „Corona- Wiederaufbaupaktes“ wurde die Transferunion in eine neue Dimension gehoben. Diese Transferunion steht nicht nur im Widerspruch zu den europäischen Verträgen und den Versprechen der deutschen Politiker, sondern wird den Abstieg aller europäischen Volkswirtschaften und Konflikte zwischen den Staaten zur Folge haben. Ein vergleichbares Versagen zeigt die EU in der jahrelang anhaltenden Migrationskrise. Auch das Krisen- management in der Corona-Krise war verheerend. Die Fehlentwicklungen in der Klima- und Energiepolitik treibt die EU durch unvorstellbar kostspielige Gesetzes- und Subventionspakete voran. Das langfristige Unheil dieser Verschuldungs- und Umverteilungs-Eskapaden wird vor allem den deutschen Steuerzahler treffen. Wir halten einen Austritt Deutschlands aus der Europäischen Union und die Gründung einer neuen europäischen Wirtschafts- und Inter- essengemeinschaft für notwendig."
"AFD","Steuern und Finanzen","Keine EU-Steuern Das Recht, Steuern zu erheben, muss vollständig in nationaler Kompetenz der Mitgliedstaaten der Europäi- schen Union verbleiben. Steuereinnahmen bestimmen die nationalen Haushalte. Die Budgethoheit stellt die zentrale Kontrollmöglichkeit des Parlaments über das Regierungshandeln dar. Die im Zusammenhang mit dem “Recovery Fonds” von der EU-Kommission geforderte Einführung mehrerer Steuern in der Rechts- setzungs- und Ertragshoheit der EU muss daher verhindert werden."
"AFD","Das Recht, Steuern zu erheben","Das Recht, Steuern zu erheben, muss vollständig in nationaler Kompetenz der Mitgliedstaaten der Europäischen Union verbleiben. Für ein Steuersystem mit wenigen Steuerarten und verständlicher Systematik Das Steuerreformkonzept des ehemaligen Verfassungsrichters Kirchhoff ist ein gutes Beispiel für eine große Reform. In Orientierung daran könnten, bei Konzentration auf die beiden großen Steuerarten (Umsatzsteuer und Einkommenssteuer), die Grundsteuer, die Gewerbesteuer und etliche, nach ihrem Aufkommen betrachtet, weitere kleinere Verbrauchsteuern auf Bundesebene ersatzlos entfallen. So zum Beispiel die Energiesteuer, die Schaumweinsteuer und die Kaffeesteuer. Auf Landesebene sollten die Biersteuer und auf der Kommunalebene die Vergnügungssteuer, die Schankerlaubnissteuer, die Jagd- und Fischereisteuer und die Zweitwohnungssteuer entfallen. Ihnen allen ist gemeinsam, dass sie verwaltungsaufwendig und aufkommensschwach sind. Sie leisten keinen nennens- werten Beitrag zur Staatsfinanzierung."
"AFD","Abschaffung der Substanzsteuern","Ähnlich verhält es sich mit den sogenannten Substanzsteuern. Dazu zählen die schon erwähnte Grundsteuer, die an Haus- und Grundbesitz anknüpft, die Vermögenssteuer sowie die Erbschafts- und Schenkungssteuer. Bei derzeit rund 800 Mrd. jährlichem Steueraufkommen des Gesamtstaates liegt deren Anteil insgesamt bei einem niedrigen einstelligen Prozentbetrag. Zudem ist die Vermögenssteuer bereits 1995 für verfassungswidrig erklärt worden. ""Die Grundsteuer wird in der Gesetzgebungshoheit des Bundes geregelt. Ihr Aufkommen fließt ausschließlich den Kommunen zu. Auch sie wurde wegen der Bewertungsprobleme des Grund- und Gebäudevermögens für verfassungswidrig erklärt. Ihr steuersystematischer Erhebungsgrund ist unklar, weshalb ihre Existenzberechtigung und ihre Verfassungsmäßigkeit in der Rechtswissenschaft hochumstritten ist. Wenn sie in Wahrheit eine zweite Vermögenssteuer ist, wofür vieles spricht, ist sie ebenfalls konfiskatorisch und daher abzuschaffen. Ihr Aufkommen entspricht etwa 10 % des gesamten Steueraufkommens der Kommunen. Als Ersatzeinnahme für die Kommunen strebt die AfD eine Änderung des Verteilungsschlüssels der großen Steuerarten zu Gunsten der Kommunen an. Grundsätzlich ist es das Ziel der AfD, die Steuer- und Abgabenbelastung in Deutschland deutlich zu senken (laut OECD weltweit nur noch von Belgien übertroffen!). Grundsätzlich ist es das Ziel der AfD, die Steuer- und Abgabenlast in Deutschland deutlich zu senken. Es gilt, die in den letzten Jahren erfolgte massive Abwanderung von deut- schen Unternehmen und Fachkräften ins Ausland zu stoppen."
"AFD","Erbschaftssteuer","Es gilt, die in den letzten Jahren erfolgte massive Abwan- derung von deutschen Unternehmen und Fachkräften ins Ausland zu stoppen und den Wirtschaftsstandort Deutschland für Investitionen wieder attraktiv zu ma- chen. Die Wirtschaftsstruktur Deutschlands ist, am welt- weiten Maßstab gemessen, extrem stark von mittel- ständischen Unternehmen geprägt. Sie beschäftigen die relativ meisten Arbeitnehmer, bilden mit Abstand die meisten Lehrlinge aus und existieren vielfach über mehrere Generationen. Im Falle des Unternehmens- übergangs im Erbgang, insbesondere auch innerhalb der Familie, wurde bei größeren Vermögen umso drastischer auf die Unternehmenssubstanz im Wege der Erbschafts- steuer steuerlich zugegriffen mit der Folge der Zerstö- rung funktionierender Unternehmen. Generationsübergreifender Werterhalt zum Nutzen von uns allen wird seit Jahrzehnten durch sozialistische Gleichheitsvorstellungen und klassenkämpferische Neidgefühle verhindert. Dem stellt sich die AfD entgegen. Erbgänge sind zunächst Angelegenheiten zwischen Erblassern und Erben. Es gibt keinen akzeptablen Grund, aus Trauerfällen Steuerfälle zu ma- chen. Die AfD fordert daher die Abschaffung der Erbschaftssteuer."
"AFD","Wohneigentum erleichtern.","Wir wollen ein Land von Wohnungseigentümern werden Der Erwerb von Grund und Boden und von Wohneigen- tum unterliegt der Grunderwerbsteuer. Sie bemisst sich in Prozenten der Erwerbskosten und erschwert damit die Eigentumsbildung breiter Bevölkerungsschichten, die weit überwiegend als Ziel eines selbstbestimmten Lebens den Erwerb von Wohnungseigentum anstreben. Deutschland ist europaweit mit unter 50 % das Land mit der geringsten Eigentumsquote bei der Wohnungsver- sorgung. Das wollen wir ändern und den Erwerb von Wohneigentum unter anderem durch die Abschaffung der Grunderwerbsteuer beim Erwerb von Immobilien zur Eigennutzung erleichtern. Bereits vor Jahrzehnten gab es für eine gewisse Zeit unter bestimmten Voraus- setzungen eine einmalige Grunderwerbssteuer- befreiung für den Erwerb von selbstgenutztem Wohnungseigentum. Elementare Steuergerechtigkeit statt Nominalwert- prinzip und Ungleichbehandlung von Steuerbürgern Da es nahezu immer eine gewisse Inflationierung des Geldes gibt, war und ist es ein Akt grober Ungerechtigkeit, die progressive Tabellenbelastung des Einkommens und die Bemessungsgrundlagen, die durch Freibeträge, Freigrenzen, Pauschbeträge und Pauschalen maßgeblich bestimmt werden, über lange Zeiträume nominal konstant zu lassen („kalte Progression”). Bei einer Inflation von jährlich 2 % schmelzen Freibeträge innerhalb von 10 Jahren um über 20 % ihres ursprünglich gesetzgeberisch gewollten Geld- wertes ab."
"AFD","quote","Die AfD setzt sich ein für die Reduzierung der Steuer- und Abgaben- quote."
"AFD","überproportional","Das Gleiche gilt für die überproportional steigende Steu- erlast bei lediglich nominalem Einkommenswachstum durch die Festschreibung der Steuertabelle. Seit der 18. Legislaturperiode des Bundestages werden zwar durch Einzelgesetze die Kinder- und die Grund- freibeträge an die Inflation angepasst und inzwischen auch die Tabellenbeträge angehoben. Im Jahrzehnt davor ist dies jedoch nicht geschehen, mit der Folge, dass man in Deutschland, etwa im krassen Unterschied zur Schweiz, mit leicht überdurchschnittlichem Einkommen bereits zu Teilen mit dem Spitzensteuersatz belastet wird. Es ist ein Gebot elementarer Gerechtigkeit, für beide Phänomene eine automatische gesetz- geberische Dynamisierung vorzunehmen. Dies wurde daher auch von der AfD-Bundestagsfraktion wiederholt in Antragsform gefordert."
"AFD","Digitalsteuer","Die AfD fordert die Einführung einer Digitalsteuer, die nicht auf den Gewinn, sondern auf den Umsatz der Digital-Konzerne erhoben wird. Genauso elementar wird die Steuergerechtigkeit verletzt, wenn der Solidaritätszuschlag, der aus Gründen der Finanzierung des Aufbau Ost eingeführt wurde, nach dem Wegfall dieser Transferleistungen nicht ebenfalls entfällt. Maßgebliche Verfassungsrechtler halten die nunmehrige vollständige Abschaffung des „Soli“ für verfassungsrechtlich zwingend geboten. Die AfD-Bundestagsfraktion hat bereits mehrfach entsprechende Anträge im Bundestag zur Abstimmung gestellt, die alle mit breiter Mehrheit abgelehnt wurden. Mit Wirkung für 2021 wurde nunmehr für untere und mittlere Einkommensgruppen der Steuerzuschlag abgeschafft - mit der Konsequenz, dass etwa die Hälfte der 20 Mrd. des jährlichen Aufkommens entfällt. Die zweite Hälfte des Aufkommens bleibt jedoch – beispielsweise auch für alle kleinen GmbH – für die übrigen Einkommensteuerzahler als Zusatzbelastung erhalten. Der Grundsatz der Gleichbehandlung aller Steuerzahler wird damit eklatant verletzt. Das Bundesverfassungsgericht wird über die Rechtmäßigkeit dieses Vorgehens zu entscheiden haben."
"AFD","Besteuerung an Digitalzeitalter anpassen: Einführung einer Digitalsteuer","Die AfD fordert die Einführung einer Digitalsteuer für Tech-Riesen („Gafam“), die nicht auf den Gewinn, sondern auf den Umsatz dieser Unternehmen erhoben wird. Denkbar ist dabei die Besteuerung von Umsätzen aus dem Platzieren personalisierter Werbung auf der Basis von Nutzerdaten, Umsätzen aus Vermittlungs- diensten zwischen Nutzern und Umsätzen aus dem Verkauf von Nutzerdaten. Da die Verhandlungen über die Einführung einer Digitalsteuer auf europäischer Ebene vorerst gescheitert sind, planen bereits mehrere europäische Länder eine entsprechende Regelung auf nationaler Ebene oder haben eine solche in Teilen bereits umgesetzt. Deutschland sollte sich zügig anschließen und eine nationale Digitalsteuer auf den Weg bringen."
